13114451.368610 1.740E-53 4.040E-03.04000.00014004.76570.660.000000       X3/2  10       X1/2   4                OP  5.5ee     332010 5 2 2 0 1 0    20.0   24.0
13114451.812030 1.742E-53 4.042E-03.04000.00014004.60010.660.000000       X3/2  10       X1/2   4                OP  5.5ff     332010 5 2 2 0 1 0    20.0   24.0
13114452.226130 1.402E-50 6.667E-05.04000.00012058.28570.660.000000       X1/2   7       X3/2   2                SR 17.5ff     232010 5 2 2 0 1 0    76.0   72.0
13114454.672160 3.457E-52 3.697E-01.04000.00014415.54180.660.000000       X3/2  10       X3/2   4                PP  8.5ff     342010 5 2 2 0 1 0    32.0   36.0
13114455.167380 1.608E-52 1.691E-01.04000.00014554.67040.660.000000       X3/2   9       X3/2   3                PP 16.5ee     242010 5 2 2 0 1 0    64.0   68.0
13114456.136640 3.497E-52 3.697E-01.04000.00014413.17450.660.000000       X3/2  10       X3/2   4                PP  8.5ee     342010 5 2 2 0 1 0    32.0   36.0
13114459.104910 1.269E-52 1.695E-01.04000.00014590.52730.660.000000       X1/2   9       X1/2   3                PP 15.5ee     242010 5 2 2 0 1 0    60.0   64.0
13114459.416440 5.330E-44 5.108E-05.04000.000 8925.56990.660.000000       X3/2   5       X3/2   0                QQ 22.5ef     232010 5 2 2 0 1 0    92.0   92.0
13114460.979050 9.249E-42 5.310E-04.04000.000 8284.22700.660.000000       X3/2   6       X3/2   1                QQ 16.5fe     242010 5 2 2 0 1 0    68.0   68.0
13114461.947810 4.686E-42 3.289E-04.04000.000 8313.05870.660.000000       X1/2   6       X1/2   1                QQ 15.5ef     242010 5 2 2 0 1 0    64.0   64.0
13114461.987410 1.305E-52 1.695E-01.04000.00014584.71510.660.000000       X1/2   9       X1/2   3                PP 15.5ff     242010 5 2 2 0 1 0    60.0   64.0
13114462.252910 7.150E-38 2.271E-01.06500.000 7248.42360.660.000000       X1/2   7       X1/2   2                PP  2.5ff     342010 5 2 2 0 1 0     8.0   12.0
13114462.337890 7.159E-38 2.271E-01.06500.000 7248.16530.660.000000       X1/2   7       X1/2   2                PP  2.5ee     342010 5 2 2 0 1 0     8.0   12.0
13114464.153400 5.775E-55 7.914E-03.04000.00015005.52890.660.000000       X3/2  10       X3/2   4                QQ 10.5ef     242010 5 2 2 0 1 0    44.0   44.0
13114464.970690 5.658E-39 1.814E-02.04000.000 7476.24820.660.000000       X3/2   7       X3/2   2                QQ  5.5ef     342010 5 2 2 0 1 0    24.0   24.0
